Triangle,Trait,ANumber,Sequence
OEIS Similars: A355172,,,
ternary_tree,Triangle ,A355172,[1 0 1 0 1 3 0 1 5 12 0 1 7 25 55 0 1 9 42 130 273 0 1 11 63 245 ]
ternary_tree,TriRev   ,nothing,[1 1 0 3 1 0 12 5 1 0 55 25 7 1 0 273 130 42 9 1 0 1428 700 245 63 ]
ternary_tree,TriAcc   ,nothing,[1 0 1 0 1 4 0 1 6 18 0 1 8 33 88 0 1 10 52 182 455 0 1 12 75 320 ]
ternary_tree,TriRevAcc,nothing,[1 1 0 4 1 0 18 6 1 0 88 33 8 1 0 455 182 52 10 1 0 2448 1020 320 ]
ternary_tree,TriAccRev,nothing,[1 1 1 3 4 4 12 17 18 18 55 80 87 88 88 273 403 445 454 455 455 ]
ternary_tree,TriDiag  ,nothing,[1 0 0 1 0 1 0 1 3 0 1 5 0 1 7 12 0 1 9 25 0 1 11 42 55 0 1 13 63 ]
ternary_tree,TriPoly  ,nothing,[1 0 1 0 1 1 0 4 2 1 0 18 14 3 1 0 88 118 30 4 1 0 455 1110 372 52 ]
ternary_tree,TriConv  ,nothing,[1 0 1 0 1 10 0 1 16 170 0 1 22 336 3700 0 1 28 550 8264 93275 0 1 ]
ternary_tree,TriBin   ,nothing,[1 0 1 0 1 5 0 1 7 30 0 1 9 49 201 0 1 11 72 356 1438 0 1 13 99 567 ]
ternary_tree,TriInvBin,nothing,[1 0 1 0 1 1 0 1 3 0 0 1 5 7 -7 0 1 7 18 12 -42 0 1 9 33 55 0 -198 ]
ternary_tree,Sum      ,A006629,[1 1 4 18 88 455 2448 13566 76912 444015 2601300 15426840 92431584 ]
ternary_tree,EvenSum  ,nothing,[1 0 3 5 62 139 1684 4297 52284 143366 1755839 5040716 62096408 ]
ternary_tree,OddSum   ,nothing,[0 1 1 13 26 316 764 9269 24628 300649 845461 10386124 30335176 ]
ternary_tree,AltSum   ,nothing,[1 -1 2 -8 36 -177 920 -4972 27656 -157283 910378 -5345408 31761232 ]
ternary_tree,AccSum   ,A102893,[1 1 5 25 130 700 3876 21945 126500 740025 4382625 26225628 ]
ternary_tree,AccRevSum,A102893,[1 1 5 25 130 700 3876 21945 126500 740025 4382625 26225628 ]
ternary_tree,RevAccSum,nothing,[1 2 11 65 398 2485 15708 100149 642620 4144140 26832975 174323292 ]
ternary_tree,DiagSum  ,nothing,[1 0 1 1 4 6 20 35 109 207 622 1243 3653 7560 21883 46461 133004 ]
ternary_tree,RowLcm   ,nothing,[1 1 3 60 1925 8190 8246700 7759752 413377965 135616981500 ]
ternary_tree,RowGcd   ,A058665,[1 1 3 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
ternary_tree,RowMax   ,A001764,[1 1 3 12 55 273 1428 7752 43263 246675 1430715 8414640 50067108 ]
ternary_tree,Middle   ,nothing,[1 0 1 1 7 9 63 88 627 910 6578 9750 71253 106981 788392 1193808 ]
ternary_tree,Central  ,nothing,[1 1 7 63 627 6578 71253 788392 8855691 100591491 1152499502 ]
ternary_tree,LeftSide ,A000007,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
ternary_tree,RightSide,A001764,[1 1 3 12 55 273 1428 7752 43263 246675 1430715 8414640 50067108 ]
ternary_tree,PosHalf  ,nothing,[1 1 5 26 141 789 4520 26368 156053 934451 5650213 34445894 ]
ternary_tree,NegHalf  ,nothing,[1 1 1 6 25 125 648 3504 19489 110835 641505 3766530 22378956 ]
ternary_tree,Bin      ,nothing,[1 1 5 30 201 1438 10734 82512 647945 5170710 41782726 341013236 ]
ternary_tree,InvBin   ,A246434,[1 1 1 0 -7 -42 -198 -858 -3575 -14586 -58786 -235144 -936054 ]
ternary_tree,TransSqrs,nothing,[0 1 13 129 1134 9320 73440 562457 4221052 31202145 227981325 ]
ternary_tree,TransNat0,nothing,[0 1 7 47 310 2030 13260 86583 565708 3700125 24231675 158896452 ]
ternary_tree,TransNat1,nothing,[1 2 11 65 398 2485 15708 100149 642620 4144140 26832975 174323292 ]
ternary_tree,DiagRow0 ,A001764,[1 1 3 12 55 273 1428 7752 43263 246675 1430715 8414640 50067108 ]
ternary_tree,DiagRow1 ,A102893,[0 1 5 25 130 700 3876 21945 126500 740025 4382625 26225628 ]
ternary_tree,DiagRow2 ,A102594,[0 1 7 42 245 1428 8379 49588 296010 1781325 10798788 65900296 ]
ternary_tree,DiagRow3 ,A230547,[0 1 9 63 408 2565 15939 98670 610740 3786588 23535820 146710476 ]
ternary_tree,DiagCol0 ,A000007,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
ternary_tree,DiagCol1 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
ternary_tree,DiagCol2 ,A004273,[3 5 7 9 11 13 15 17 19 21 23 25 27 29 31 33 35 37 39 41 43 45 47 ]
ternary_tree,DiagCol3 ,A071355,[12 25 42 63 88 117 150 187 228 273 322 375 432 493 558 627 700 777 ]
ternary_tree,PolyRow0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
ternary_tree,PolyRow1 ,A001477,[0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 ]
ternary_tree,PolyRow2 ,A049451,[0 4 14 30 52 80 114 154 200 252 310 374 444 520 602 690 784 884 ]
ternary_tree,PolyRow3 ,nothing,[0 18 118 372 852 1630 2778 4368 6472 9162 12510 16588 21468 27222 ]
