Triangle,Anum,Trait,Sequence
WardSet,A269939,Tabl,[1 0 1 0 1 3 0 1 10 15 0 1 25 105 105 0 1 56 490 1260 945 0 1 119 ]
WardSet,A181996,RevTabl,[1 1 0 3 1 0 15 10 1 0 105 105 25 1 0 945 1260 490 56 1 0 10395 ]
WardSet,,InvTabl,[]
WardSet,,RevInvTabl,[]
WardSet,,InvRevTabl,[]
WardSet,,AccTabl,[1 0 1 0 1 4 0 1 11 26 0 1 26 131 236 0 1 57 547 1807 2752 0 1 120 ]
WardSet,,RevAccTabl,[1 1 0 4 1 0 26 11 1 0 236 131 26 1 0 2752 1807 547 57 1 0 39208 ]
WardSet,,AccRevTabl,[1 1 1 3 4 4 15 25 26 26 105 210 235 236 236 945 2205 2695 2751 ]
WardSet,A137375,AntiDiagTabl,[1 0 0 1 0 1 0 1 3 0 1 10 0 1 25 15 0 1 56 105 0 1 119 490 105 0 1 ]
WardSet,,BinTabl,[1 0 1 0 1 5 0 1 12 48 0 1 27 183 679 0 1 58 661 3560 12710 0 1 121 ]
WardSet,,InvBinTabl,[1 0 1 0 1 1 0 1 8 -12 0 1 23 33 -169 0 1 54 325 -368 -1010 0 1 117 ]
WardSet,,DiffxTabl,[1 0 2 0 2 9 0 2 30 60 0 2 75 420 525 0 2 168 1960 6300 5670 0 2 ]
WardSet,A000311,RowSum,[1 1 4 26 236 2752 39208 660032 12818912 282137824 6939897856 ]
WardSet,,EvenSum,[1 0 3 10 130 1316 19964 327496 6429616 140887472 3471763328 ]
WardSet,,OddSum,[0 1 1 16 106 1436 19244 332536 6389296 141250352 3468134528 ]
WardSet,A000142,AltSum,[1 -1 2 -6 24 -120 720 -5040 40320 -362880 3628800 -39916800 ]
WardSet,A000296,AntiDiagSum,[1 0 1 1 4 11 41 162 715 3425 17722 98253 580317 3633280 24011157 ]
WardSet,,AccSum,[1 1 5 38 394 5164 81668 1510928 31986400 762118432 20175223232 ]
WardSet,,AccRevSum,[1 2 11 92 1022 14100 231996 4429360 96202720 2341397632 ]
WardSet,,RowLcm,[1 1 3 30 525 52920 242099550 45099954900 367310208815775225 ]
WardSet,A110560,RowGcd,[1 1 3 5 5 7 7 1 1 11 11 13 13 1 1 17 17 19 19 1 ]
WardSet,,RowMax,[1 1 3 15 105 1260 17325 270270 4729725 94594500 2343240900 ]
WardSet,,ColMiddle,[1 0 1 1 25 56 1918 6825 302995 1487200 81431350 510880370 ]
WardSet,,ColECentral,[1 1 25 1918 302995 81431350 33309926650 19282395272140 ]
WardSet,,ColOCentral,[0 1 56 6825 1487200 510880370 254752658160 174073797222325 ]
WardSet,A000007,ColLeft,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
WardSet,A001147,ColRight,[1 1 3 15 105 945 10395 135135 2027025 34459425 654729075 ]
WardSet,,BinConv,[1 1 5 48 679 12710 296246 8267448 268799091 9978566310 ]
WardSet,,InvBinConv,[1 1 1 -12 -169 -1010 11614 484736 7251635 -31586634 -5267648770 ]
WardSet,,TransNat0,[0 1 7 66 786 11348 192788 3769328 83383808 2059259808 56163653184 ]
WardSet,,TransNat1,[1 2 11 92 1022 14100 231996 4429360 96202720 2341397632 ]
WardSet,,TransSqrs,[0 1 13 176 2726 48420 976284 22089800 555025760 15345208528 ]
WardSet,A000457,DiagRow1,[0 1 10 105 1260 17325 270270 4729725 91891800 1964187225 ]
WardSet,A000497,DiagRow2,[0 1 25 490 9450 190575 4099095 94594500 2343240900 62199262125 ]
WardSet,A000504,DiagRow3,[0 1 56 1918 56980 1636635 47507460 1422280860 44346982680 ]
WardSet,A000012,DiagCol1,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
WardSet,A000247,DiagCol2,[3 10 25 56 119 246 501 1012 2035 4082 8177 16368 32751 65518 ]
WardSet,A000478,DiagCol3,[15 105 490 1918 6825 22935 74316 235092 731731 2252341 6879678 ]
WardSet,,PolyTabl,[1 0 1 0 1 1 0 4 2 1 0 26 14 3 1 0 236 162 30 4 1 0 2752 2622 498 ]
WardSet,A001477,PolyRow1,[0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 ]
WardSet,A049451,PolyRow2,[0 4 14 30 52 80 114 154 200 252 310 374 444 520 602 690 784 884 ]
WardSet,,PolyRow3,[0 26 162 498 1124 2130 3606 5642 8328 11754 16010 21186 27372 ]
WardSet,A201465,PolyCol2,[1 2 14 162 2622 54546 1386702 41660226 1444071006 56728401138 ]
WardSet,A201466,PolyCol3,[1 3 30 498 11568 345432 12606240 543678672 27054328512 ]
WardSet,,PolyDiag,[1 1 14 498 34004 3803280 632374098 146428634576 45056223763272 ]
WardSet,,PosHalf,[1 1 5 39 423 5889 100125 2010951 46589967 1223110881 35883307125 ]
WardSet,A001662,NegHalf,[1 1 1 -1 -13 -47 73 2447 16811 -15551 -1726511 -18994849 -10979677 ]
