Triangle,Trait,ANumber,Sequence
OEIS Similars: A028246 A053440 A075263 A130850 A163626,,,
worpitzky,Triangle ,A028246,[1 1 1 1 3 2 1 7 12 6 1 15 50 60 24 1 31 180 390 360 120 1 63 602 ]
worpitzky,TriRev   ,A075263,[1 1 1 2 3 1 6 12 7 1 24 60 50 15 1 120 360 390 180 31 1 720 2520 ]
worpitzky,TriInvRev,A106340,[1 -1 1 1 -3 1 -1 9 -7 1 1 -45 55 -15 1 -1 585 -835 285 -31 1 1 ]
worpitzky,TriAcc   ,nothing,[1 1 2 1 4 6 1 8 20 26 1 16 66 126 150 1 32 212 602 962 1082 1 64 ]
worpitzky,TriRevAcc,nothing,[1 2 1 6 4 1 26 20 8 1 150 126 66 16 1 1082 962 602 212 32 1 9366 ]
worpitzky,TriAccRev,A054255,[1 1 2 2 5 6 6 18 25 26 24 84 134 149 150 120 480 870 1050 1081 ]
worpitzky,TriDiag  ,nothing,[1 1 1 1 1 3 1 7 2 1 15 12 1 31 50 6 1 63 180 60 1 127 602 390 24 1 ]
worpitzky,TriPoly  ,nothing,[1 1 1 1 2 1 1 6 3 1 1 26 15 4 1 1 150 111 28 5 1 1 1082 1095 292 ]
worpitzky,TriConv  ,nothing,[1 1 2 1 4 14 1 8 46 230 1 16 146 1066 6902 1 32 454 4718 41506 ]
worpitzky,TriBin   ,A076014,[1 1 2 1 4 9 1 8 27 64 1 16 81 256 625 1 32 243 1024 3125 7776 1 64 ]
worpitzky,TriInvBin,nothing,[1 1 0 1 2 -3 1 6 -1 -10 1 14 21 -46 25 1 30 119 -58 -243 574 1 62 ]
worpitzky,Sum      ,A000629,[1 2 6 26 150 1082 9366 94586 1091670 14174522 204495126 3245265146 ]
worpitzky,EvenSum  ,A000670,[1 1 3 13 75 541 4683 47293 545835 7087261 102247563 1622632573 ]
worpitzky,OddSum   ,A000670,[0 1 3 13 75 541 4683 47293 545835 7087261 102247563 1622632573 ]
worpitzky,AltSum   ,A000007,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
worpitzky,AccSum   ,nothing,[1 3 11 55 359 2891 27635 305439 3829439 53672179 831308939 ]
worpitzky,AccRevSum,nothing,[1 3 11 55 359 2891 27635 305439 3829439 53672179 831308939 ]
worpitzky,RevAccSum,A000670,[1 3 13 75 541 4683 47293 545835 7087261 102247563 1622632573 ]
worpitzky,DiagSum  ,A229046,[1 1 2 4 10 28 88 304 1144 4648 20248 94024 463144 2409928 13198888 ]
worpitzky,RowLcm   ,nothing,[1 1 6 84 600 145080 2167200 453138235200 319959556963200 ]
worpitzky,RowGcd   ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
worpitzky,RowMax   ,nothing,[1 1 3 12 60 390 3360 31920 332640 4233600 59875200 898128000 ]
worpitzky,Middle   ,nothing,[1 1 3 7 50 180 2100 10206 166824 1020600 21538440 158838240 ]
worpitzky,Central  ,A185157,[1 3 50 2100 166824 21538440 4115105280 1091804313600 ]
worpitzky,LeftSide ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
worpitzky,RightSide,A000142,[1 1 2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600 ]
worpitzky,PosHalf  ,A009362,[1 3 12 66 480 4368 47712 608016 8855040 145083648 2641216512 ]
worpitzky,NegHalf  ,A009006,[1 -1 0 2 0 -16 0 272 0 -7936 0 353792 0 -22368256 0 1903757312 0 ]
worpitzky,Bin      ,A000169,[1 2 9 64 625 7776 117649 2097152 43046721 1000000000 25937424601 ]
